code,vowel,prec_sound,foll_sound,prec_boundary,post_boundary,lexical_category,voice,stressed_syllable,word,prec_word,foll_word
657,ih,m,d,x,x,noun,modal,y,middle,the,of
658,ih,b,g,x,x,adjective,modal,y,big,a,fresh
659,ih,t,n,word,x,function,creaky,y,in,sat,the
660,ih,m,d,x,x,noun,modal,y,middle,the,of
661,ih,b,g,x,x,adjective,modal,y,big,a,fresh
662,ih,t,n,word,x,function,creaky,y,in,sat,the
663,ih,m,d,x,x,noun,modal,y,middle,the,of
664,ih,b,g,x,x,adjective,modal,y,big,a,fresh
665,ih,t,n,word,x,function,creaky,y,in,sat,the
666,ih,m,d,x,x,noun,modal,y,middle,the,of
667,ih,b,g,x,x,adjective,modal,y,big,a,fresh
668,ih,t,n,word,x,function,creaky,y,in,sat,the
669,ih,m,d,x,x,noun,modal,y,middle,the,of
670,ih,b,g,x,x,adjective,modal,y,big,a,fresh
671,ih,t,n,word,x,function,creaky,y,in,sat,the
672,ih,m,d,x,x,noun,modal,y,middle,the,of
